age,portalName,portalAddress,oldOwner,hunter,dtg
61,"Robinson Township Municipal","8307 Noblestown Road, McDonald, PA 15057, USA","Marcus723","Semiotiq","2017-01-19 19:23:15"
129,"Bessemer Fire Department","1-5 North Main Street, Bessemer, PA 16112, USA","tstewy2","Semiotiq","2017-01-30 03:31:03"
138,"West Mifflin Veteran's Memorial","91 Commonwealth Avenue, West Mifflin, PA 15122, USA","Lipphil","Semiotiq","2017-02-03 19:25:01"
127,"Hungarian Reformed Cemetery","2151-2199 Ridge Street, West Mifflin, PA 15122, USA","BlueRose0427","Semiotiq","2017-02-03 19:41:32"
109,"West Mifflin Community Park 1991","287-299 Bettis Road, West Mifflin, PA 15122, USA","slipkid","Semiotiq","2017-02-03 19:49:52"
99,"St. John of the Cross Church ","207 5th Street, Dravosburg, PA 15034, USA","SevenHour","Semiotiq","2017-02-03 19:59:13"
234,"Amity Presbyterian Church","400 Euclid Avenue, Dravosburg, PA 15034, USA","slipkid","Semiotiq","2017-02-03 20:01:44"
105,"Walnut Grove Assembly of God","2-98 Walnut Drive, West Mifflin, PA 15122, USA","SilverLight7","Semiotiq","2017-02-03 20:08:35"
108,"Attention 2 Detail Graffiti","5012 Buttermilk Hollow Road, West Mifflin, PA 15122, USA","slipkid","Semiotiq","2017-02-03 20:11:11"
61,"Wildlife Habitat Council","658-684 Delwar Road, West Mifflin, PA 15122, USA","Coryh23","Semiotiq","2017-02-03 20:23:23"
157,"Hot Metal Bridge Faith Community","51 South 27th Street, Pittsburgh, PA 15203, USA","ksquigg2","Semiotiq","2017-02-05 08:46:36"
121,"Allentown Transport","801 East Warrington Avenue, Pittsburgh, PA 15210, USA","Goblin13","Semiotiq","2017-02-05 09:10:59"
108,"Eighteenth Ward Honor Roll","146-156 Estella Avenue, Pittsburgh, PA 15211, USA","MisterMagenta","Semiotiq","2017-02-05 09:15:17"
68,"University Club Honor Roll ","4340-4378 Bigelow Boulevard, Pittsburgh, PA 15213, USA","Uhys","Semiotiq","2017-02-05 15:31:02"
65,"Schenley Farms Historic District ","4407 Bayard Street, Pittsburgh, PA 15213, USA","XxNymeriaxX","Semiotiq","2017-02-05 15:34:17"
65,"Historic Landmark Bertram Goodhue","4400-4448 Bayard Street, Pittsburgh, PA 15213, USA","XxNymeriaxX","Semiotiq","2017-02-05 15:34:32"
67,"Riverview Cemetery Mt Zion United Methodist Church","699 Cemetery Road, Woodstock, VA 22664, USA","ksywa","Semiotiq","2017-02-13 12:04:46"
261,"Old Guide's Cemetery","Mammoth Cave National Park, 792 Beaver Dam Chapel Road, Mammoth Cave, KY 42259, USA","Beameer","Semiotiq","2017-02-17 14:54:51"
64,"Greenfield Rest Area","Anton Tony Hulman Junior Memorial Way, Greenfield, IN 46140, USA","BlackJiac","Semiotiq","2017-02-20 05:57:14"
64,"Blue Star Memorial Highway ","Anton Tony Hulman Junior Memorial Way, Greenfield, IN 46140, USA","BlackJiac","Semiotiq","2017-02-20 05:57:51"
103,"Ohio Turnpike Water Tower","9200 Limeridge Road, Mantua, OH 44255, USA","WhatsAfranc0","Semiotiq","2017-02-26 09:16:28"
84,"Memorial Wall","Niles, OH, USA","5ASSY","Semiotiq","2017-02-26 10:48:45"
94,"Total Equipment Mural","500-532 Gibson Drive, Moon, PA 15108, USA","moses423","Semiotiq","2017-02-28 15:25:23"
92,"North Boro's Sportsmen's Association ","North Borough Sportsmen Club, Baden, PA 15005, USA","BigSilky","Semiotiq","2017-03-01 00:51:09"
103,"R M U Indoor Golf Driving Range","7600 Grand Avenue, Pittsburgh, PA 15225, USA","moses423","Semiotiq","2017-03-01 01:37:17"
121,"Church of Christ","616 George Street, Coraopolis, PA 15108, USA","moses423","Semiotiq","2017-03-01 11:21:47"
389,"PA State Gamelands #203","2644 State Gamelands Road, Wexford, PA 15090, USA","BigSilky","Semiotiq","2017-03-01 12:05:24"
172,"Calvary Hill","Interstate 79, Wexford, PA 15090, USA","BigSilky","Semiotiq","2017-03-01 13:09:24"
273,"Covenant Community Church","Interstate 79, Wexford, PA 15090, USA","BigSilky","Semiotiq","2017-03-01 13:12:29"
109,"Old Economy Park","11 Forcey Drive, Baden, PA 15005, USA","BigSilky","Semiotiq","2017-03-01 14:40:17"
355,"Angel Statue","96 Fairview Avenue, Ambridge, PA 15003, USA","BigSilky","Semiotiq","2017-03-01 14:55:15"
167,"Esther G. Allen Trail","382-482 U.S. 30, Clinton, PA 15026, USA","vwratt","Semiotiq","2017-03-02 11:59:32"
342,"Raccoon Creek State Park Shafer Rock","154 Patterson Farm Road, Clinton, PA 15026, USA","Azmael","Semiotiq","2017-03-02 12:15:41"
